Volatility 3 Framework 2.28.0

Offset	Module Name	Code Size	Taints	Load Arguments	File Output
0xffffc06687c0	ip_tables	0x8000			N/A
0xffffc065ca40	x_tables	0xd000			N/A
0xffffc06508c0	autofs4	0xc000			N/A
0xffffc0609940	btrfs	0x17e000			N/A
0xffffc04c2a00	blake2b_generic	0x5000			N/A
0xffffc04b3c40	zstd_compress	0x38000			N/A
0xffffc0477700	raid10	0x11000			N/A
0xffffc0458880	raid456	0x28000		devices_handle_discard_safely=None	N/A
0xffffc0433440	async_raid6_recov	0x6000			N/A
0xffffc042c0c0	async_memcpy	0x5000			N/A
0xffffc0426240	async_pq	0x6000			N/A
0xffffc041f1c0	async_xor	0x5000			N/A
0xffffc034f0c0	async_tx	0x5000			N/A
0xffffc031d0c0	xor	0x6000			N/A
0xffffc0418bc0	raid6_pq	0x1e000			N/A
0xffffc02e3040	libcrc32c	0x4000			N/A
0xffffc03c5480	raid1	0xc000			N/A
0xffffc023b600	raid0	0x6000		default_layout=None	N/A
0xffffc01f0280	multipath	0x5000			N/A
0xffffc0196180	linear	0x5000			N/A
0xffffc01ac140	hid_generic	0x4000			N/A
0xffffc02dc300	usbhid	0x10000		quirks=None,None,None,None, ignoreled=None, kbpoll=None, jspoll=None, mousepoll=None	N/A
0xffffc03f6500	hid	0x25000		ignore_special_drivers=None, debug=None	N/A
0xffffc01c8240	crct10dif_pclmul	0x4000			N/A
0xffffc01d8240	crc32_pclmul	0x4000			N/A
0xffffc0190440	ghash_clmulni_intel	0x4000			N/A
0xffffc0187140	sha256_ssse3	0x8000			N/A
0xffffc017a180	bochs	0x4000		defy=None, defx=None, modeset=None	N/A
0xffffc01718c0	sha1_ssse3	0x8000			N/A
0xffffc03d3340	drm_vram_helper	0x6000			N/A
0xffffc03cb040	drm_ttm_helper	0x4000			N/A
0xffffc03adfc0	aesni_intel	0x5c000			N/A
0xffffc0358040	crypto_simd	0x4000			N/A
0xffffc0344640	ttm	0x15000		dma32_pages_limit=None, pages_limit=None, page_pool_size=None	N/A
0xffffc032b180	cryptd	0x6000		cryptd_max_cpu_qlen=None	N/A
0xffffc03109c0	psmouse	0x2d000		resync_time=None, resetafter=None, a4tech_workaround=None, smartscroll=None, rate=None, resolution=None, proto=None, synaptics_intertouch=None, elantech_smbus=None	N/A
0xffffc02ac740	drm_kms_helper	0x4d000		dp_aux_i2c_transfer_size=None, dp_aux_i2c_speed_khz=None, poll=None, edid_firmware=None, drm_fbdev_overalloc=None, fbdev_emulation=None, drm_dp_cec_unregister_delay=None	N/A
0xffffc0272000	syscopyarea	0x4000			N/A
0xffffc02694c0	sysfillrect	0x5000			N/A
0xffffc025c600	i2c_i801	0x9000		disable_features=None	N/A
0xffffc024d180	i2c_smbus	0x5000			N/A
0xffffc0243340	sysimgblt	0x4000			N/A
0xffffc0234b00	ahci	0xc000		mobile_lpm_policy=None, marvell_enable=None	N/A
0xffffc0225040	fb_sys_fops	0x4000			N/A
0xffffc0214440	cec	0x10000		debug_phys_addr=None, debug=None	N/A
0xffffc01feb40	libahci	0xc000		devslp_idle_timeout=None, ahci_em_messages=None, ignore_sss=None, skip_host_reset=None	N/A
0xffffc01e7ac0	rc_core	0x10000			N/A
0xffffc01d3380	lpc_ich	0x7000			N/A
0xffffc01c1c80	virtio_net	0x10000		napi_tx=None, gso=None, csum=None, napi_weight=None	N/A
0xffffc01a7080	net_failover	0x5000			N/A
0xffffc01a1380	xhci_pci	0x6000			N/A
0xffffc01349c0	drm	0x98000		edid_fixup=None, debug=None, timestamp_precision_usec=None, vblankoffdelay=None, edid_firmware=	N/A
0xffffc00cd340	xhci_pci_renesas	0x5000			N/A
0xffffc00c2180	virtio_rng	0x4000			N/A
0xffffc00b7380	virtio_blk	0x5000		queue_depth=None	N/A
0xffffc00ac100	failover	0x4000			N/A
